0.2584,0.01,,,,,接收,频率,累积 %
0.8046,,,,,,,,
0.2584,,,,,,,,
0.2806,,,,,,,,
0.2674,,,,,,,,
0.304,,,,,,,,
0.7896,,,,,,,,
0.2968,,,,,,,,
0.8168,,,,,,,,
0.2976,,,,,,,,
0.321,,,,,,,,
0.3292,,,,,,,,
0.8756,,,,,,,,
0.3444,,,,,,,,
0.2586,,,,,,,,
0.0372,,,,,,,,
0.039,,,,,,,,
0.031,,,,,,,,
0.3834,,,,,,,,
0.0504,,,,,,,,
0.493,,,,,,,,
0.061,,,,,,,,
0.078,,,,,,,,
0.1118,,,,,,,,
0.6872,,,,,,,,
0.168,,,,,,,,
0.2686,,,,,,,,
0.0372,,,,,,,,
0.0332,,,,,,,,
0.0382,,,,,,,,
0.3916,,,,,,,,
0.0464,,,,,,,,
0.5312,,,,,,,,
0.0614,,,,,,,,
0.085,,,,,,,,
0.1116,,,,,,,,
0.7036,,,,,,,,
0.1722,,,,,,,,
0.2804,,,,,,,,
0.0384,,,,,,,,
0.0362,,,,,,,,
0.1182,,,,,,,,
0.4034,,,,,,,,
0.1358,,,,,,,,
0.5296,,,,,,,,
0.068,,,,,,,,
0.091,,,,,,,,
0.1264,,,,,,,,
0.711,,,,,,,,
0.1748,,,,,,,,
0.2842,,,,,,,,
0.0366,,,,,,,,
0.039,,,,,,,,
0.1172,,,,,,,,
0.4142,,,,,,,,
0.2198,,,,,,,,
0.5448,,,,,,,,
0.16,,,,,,,,
0.1,,,,,,,,
0.1354,,,,,,,,
0.7236,,,,,,,,
0.1878,,,,,,,,
0.786,,,,,,,,
0.3784,,,,,,,,
0.3864,,,,,,,,
0.4002,,,,,,,,
0.4216,,,,,,,,
0.4322,,,,,,,,
0.845,,,,,,,,
0.4588,,,,,,,,
0.4532,,,,,,,,
0.456,,,,,,,,
0.8978,,,,,,,,
0.4852,,,,,,,,
0.2996,,,,,,,,
0.0446,,,,,,,,
0.0484,,,,,,,,
0.1328,,,,,,,,
0.227,,,,,,,,
0.4296,,,,,,,,
0.5406,,,,,,,,
0.2622,,,,,,,,
0.192,,,,,,,,
0.1454,,,,,,,,
0.7528,,,,,,,,
0.2032,,,,,,,,
0.814,,,,,,,,
0.5048,,,,,,,,
0.5208,,,,,,,,
0.5224,,,,,,,,
0.5264,,,,,,,,
0.8394,,,,,,,,
0.5482,,,,,,,,
0.573,,,,,,,,
0.5898,,,,,,,,
0.5952,,,,,,,,
0.92,,,,,,,,
0.6082,,,,,,,,
0.3054,,,,,,,,
0.0582,,,,,,,,
0.0704,,,,,,,,
0.0696,,,,,,,,
0.1522,,,,,,,,
0.4346,,,,,,,,
0.251,,,,,,,,
0.5718,,,,,,,,
0.2892,,,,,,,,
0.2336,,,,,,,,
0.7498,,,,,,,,
0.2284,,,,,,,,
0.3278,,,,,,,,
0.0758,,,,,,,,
0.0958,,,,,,,,
0.0906,,,,,,,,
0.0892,,,,,,,,
0.4596,,,,,,,,
0.1892,,,,,,,,
0.5798,,,,,,,,
0.2704,,,,,,,,
0.2442,,,,,,,,
0.769,,,,,,,,
0.2288,,,,,,,,
0.3214,,,,,,,,
0.1058,,,,,,,,
0.1152,,,,,,,,
0.1166,,,,,,,,
0.1268,,,,,,,,
0.4572,,,,,,,,
0.1354,,,,,,,,
0.5998,,,,,,,,
0.2374,,,,,,,,
0.2456,,,,,,,,
0.7726,,,,,,,,
0.2472,,,,,,,,
0.8692,,,,,,,,
0.6888,,,,,,,,
0.7014,,,,,,,,
0.7094,,,,,,,,
0.726,,,,,,,,
0.8974,,,,,,,,
0.7324,,,,,,,,
0.9162,,,,,,,,
0.7464,,,,,,,,
0.755,,,,,,,,
0.783,,,,,,,,
0.7978,,,,,,,,
0.331,,,,,,,,
0.1638,,,,,,,,
0.1802,,,,,,,,
0.1786,,,,,,,,
0.1886,,,,,,,,
0.4748,,,,,,,,
0.206,,,,,,,,
0.6144,,,,,,,,
0.2184,,,,,,,,
0.2328,,,,,,,,
0.2474,,,,,,,,
